"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 29 21:05:10 SAMT 2023","Wed Mar 29 21:05:11 SAMT 2023","528","All Test Suite","/Users/nfedorov/IdeaProjects/globalsQa","tests.FindCustomerTest","tests.FindCustomerTest","searchCustomerByFirstName","searchCustomerByFirstName",""
"passed","Wed Mar 29 21:05:11 SAMT 2023","Wed Mar 29 21:05:11 SAMT 2023","192","All Test Suite","/Users/nfedorov/IdeaProjects/globalsQa","tests.AddCustomerTest","tests.AddCustomerTest","addNewCustomerWithInvalidData","addNewCustomerWithInvalidData","Проверка добавления нового пользователя без заполнения обязательных полей формы"
"passed","Wed Mar 29 21:05:10 SAMT 2023","Wed Mar 29 21:05:10 SAMT 2023","131","All Test Suite","/Users/nfedorov/IdeaProjects/globalsQa","tests.AddCustomerTest","tests.AddCustomerTest","addNewCustomerWithInvalidData","addNewCustomerWithInvalidData","Проверка добавления нового пользователя без заполнения обязательных полей формы"
"passed","Wed Mar 29 21:05:10 SAMT 2023","Wed Mar 29 21:05:11 SAMT 2023","153","All Test Suite","/Users/nfedorov/IdeaProjects/globalsQa","tests.AddCustomerTest","tests.AddCustomerTest","addNewCustomerWithInvalidData","addNewCustomerWithInvalidData","Проверка добавления нового пользователя без заполнения обязательных полей формы"
"passed","Wed Mar 29 21:05:09 SAMT 2023","Wed Mar 29 21:05:09 SAMT 2023","94","All Test Suite","/Users/nfedorov/IdeaProjects/globalsQa","tests.SortCustomersListTest","tests.SortCustomersListTest","sortCustomersList","sortCustomersList","Проверка сортировки списка пользователей в алфавитном порядке"
"passed","Wed Mar 29 21:05:10 SAMT 2023","Wed Mar 29 21:05:10 SAMT 2023","155","All Test Suite","/Users/nfedorov/IdeaProjects/globalsQa","tests.AddCustomerTest","tests.AddCustomerTest","addNewCustomerWithInvalidData","addNewCustomerWithInvalidData","Проверка добавления нового пользователя без заполнения обязательных полей формы"
"passed","Wed Mar 29 21:05:09 SAMT 2023","Wed Mar 29 21:05:09 SAMT 2023","397","All Test Suite","/Users/nfedorov/IdeaProjects/globalsQa","tests.SortCustomersListTest","tests.SortCustomersListTest","reverseSortCustomersList","reverseSortCustomersList","Проверка сортировки списка пользователей в обратном алфавиту порядке"
"passed","Wed Mar 29 21:05:09 SAMT 2023","Wed Mar 29 21:05:10 SAMT 2023","918","All Test Suite","/Users/nfedorov/IdeaProjects/globalsQa","tests.AddCustomerTest","tests.AddCustomerTest","addNewCustomer","addNewCustomer","Проверка успешной регистрации нового пользователя"
"passed","Wed Mar 29 21:05:11 SAMT 2023","Wed Mar 29 21:05:11 SAMT 2023","40","All Test Suite","/Users/nfedorov/IdeaProjects/globalsQa","tests.FindCustomerTest","tests.FindCustomerTest","searchCustomerByFullName","searchCustomerByFullName",""
"passed","Wed Mar 29 21:05:11 SAMT 2023","Wed Mar 29 21:05:11 SAMT 2023","42","All Test Suite","/Users/nfedorov/IdeaProjects/globalsQa","tests.FindCustomerTest","tests.FindCustomerTest","searchCustomerByLastName","searchCustomerByLastName",""
